"Annotation Protein Groups Group ID"	"Checked"	"Tags"	"Annotation Accession"	"Annotation Level"	"Annotation Description"	"Annotation Source"	"# Master Proteins"	"# Proteins"	"# Reference Proteins"	"Coverage [%]"
"2637"	"False"	""	"GO:0005884"	"IntermediateAnnotation"	"actin filament"	"GOAnnotation"	"1"	"1"	"47"	"2"
"2638"	"False"	""	"GO:0099513"	"IntermediateAnnotation"	"polymeric cytoskeletal fiber"	"GOAnnotation"	"1"	"1"	"228"	"0"
"2639"	"False"	""	"GO:0005902"	"IntermediateAnnotation"	"microvillus"	"GOAnnotation"	"1"	"1"	"82"	"1"
"2640"	"False"	""	"GO:0098858"	"IntermediateAnnotation"	"actin-based cell projection"	"GOAnnotation"	"1"	"1"	"168"	"1"
"2641"	"False"	""	"GO:0016461"	"IntermediateAnnotation"	"unconventional myosin complex"	"GOAnnotation"	"1"	"1"	"6"	"17"
"2642"	"False"	""	"GO:0016459"	"IntermediateAnnotation"	"myosin complex"	"GOAnnotation"	"1"	"1"	"20"	"5"
"2643"	"False"	""	"GO:0030175"	"IntermediateAnnotation"	"filopodium"	"GOAnnotation"	"1"	"1"	"75"	"1"
"2644"	"False"	""	"GO:0030330"	"IntermediateAnnotation"	"DNA damage response, signal transduction by p53 class mediator"	"GOAnnotation"	"1"	"1"	"8"	"12"
"2645"	"False"	""	"GO:0042770"	"IntermediateAnnotation"	"signal transduction in response to DNA damage"	"GOAnnotation"	"1"	"1"	"23"	"4"
"2646"	"False"	""	"GO:0072331"	"IntermediateAnnotation"	"signal transduction by p53 class mediator"	"GOAnnotation"	"1"	"1"	"16"	"6"
"2647"	"False"	""	"GO:0006974"	"IntermediateAnnotation"	"DNA damage response"	"GOAnnotation"	"1"	"1"	"101"	"1"
"2648"	"False"	""	"GO:0031941"	"LeafAnnotation"	"filamentous actin"	"GOAnnotation"	"1"	"1"	"9"	"11"
"2649"	"False"	""	"GO:0032587"	"LeafAnnotation"	"ruffle membrane"	"GOAnnotation"	"1"	"1"	"75"	"1"
"2650"	"False"	""	"GO:0031253"	"IntermediateAnnotation"	"cell projection membrane"	"GOAnnotation"	"2"	"2"	"286"	"1"
"2651"	"False"	""	"GO:0031256"	"IntermediateAnnotation"	"leading edge membrane"	"GOAnnotation"	"1"	"1"	"140"	"1"
"2652"	"False"	""	"GO:0042472"	"IntermediateAnnotation"	"inner ear morphogenesis"	"GOAnnotation"	"1"	"1"	"45"	"2"
"2653"	"False"	""	"GO:0042471"	"IntermediateAnnotation"	"ear morphogenesis"	"GOAnnotation"	"1"	"1"	"50"	"2"
"2654"	"False"	""	"GO:0048839"	"IntermediateAnnotation"	"inner ear development"	"GOAnnotation"	"1"	"1"	"89"	"1"
"2655"	"False"	""	"GO:0043583"	"IntermediateAnnotation"	"ear development"	"GOAnnotation"	"1"	"1"	"97"	"1"
"2656"	"False"	""	"GO:0042491"	"IntermediateAnnotation"	"inner ear auditory receptor cell differentiation"	"GOAnnotation"	"1"	"1"	"28"	"4"
"2657"	"False"	""	"GO:0035315"	"IntermediateAnnotation"	"hair cell differentiation"	"GOAnnotation"	"1"	"1"	"30"	"3"
"2658"	"False"	""	"GO:0060113"	"IntermediateAnnotation"	"inner ear receptor cell differentiation"	"GOAnnotation"	"1"	"1"	"38"	"3"
"2659"	"False"	""	"GO:0009913"	"IntermediateAnnotation"	"epidermal cell differentiation"	"GOAnnotation"	"1"	"1"	"74"	"1"
"2660"	"False"	""	"GO:0042490"	"IntermediateAnnotation"	"mechanoreceptor differentiation"	"GOAnnotation"	"1"	"1"	"41"	"2"
"2661"	"False"	""	"GO:0030855"	"IntermediateAnnotation"	"epithelial cell differentiation"	"GOAnnotation"	"1"	"1"	"254"	"0"
"2662"	"False"	""	"GO:0008544"	"IntermediateAnnotation"	"epidermis development"	"GOAnnotation"	"1"	"1"	"129"	"1"
"2663"	"False"	""	"GO:0043531"	"LeafAnnotation"	"ADP binding"	"GOAnnotation"	"1"	"1"	"14"	"7"
"2664"	"False"	""	"GO:0060001"	"LeafAnnotation"	"minus-end directed microfilament motor activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"2665"	"False"	""	"Pf18434"	"LeafAnnotation"	"Kazal-type serine protease inhibitor domain"	"Pfam"	"1"	"1"	"1"	"100"
"2666"	"False"	""	"Pf21284"	"LeafAnnotation"	"Complement component C7, FIM2 N-terminal"	"Pfam"	"1"	"1"	"1"	"100"
"2667"	"False"	""	"Pf21330"	"LeafAnnotation"	"Complement component C7, Kazal domain"	"Pfam"	"1"	"1"	"1"	"100"
"2668"	"False"	""	"Pf00040"	"LeafAnnotation"	"Fibronectin type II domain"	"Pfam"	"3"	"3"	"10"	"30"
"2669"	"False"	""	"Pf00168"	"LeafAnnotation"	"C2 domain"	"Pfam"	"1"	"1"	"87"	"1"
"2670"	"False"	""	"Pf02318"	"LeafAnnotation"	"FYVE-type zinc finger"	"Pfam"	"1"	"1"	"4"	"25"
"2671"	"False"	""	"GO:0001786"	"LeafAnnotation"	"phosphatidylserine binding"	"GOAnnotation"	"1"	"1"	"65"	"2"
"2672"	"False"	""	"GO:0072341"	"IntermediateAnnotation"	"modified amino acid binding"	"GOAnnotation"	"1"	"1"	"78"	"1"
"2673"	"False"	""	"GO:0006904"	"IntermediateAnnotation"	"vesicle docking involved in exocytosis"	"GOAnnotation"	"1"	"1"	"28"	"4"
"2674"	"False"	""	"GO:0048278"	"IntermediateAnnotation"	"vesicle docking"	"GOAnnotation"	"1"	"1"	"45"	"2"
"2675"	"False"	""	"GO:0140029"	"IntermediateAnnotation"	"exocytic process"	"GOAnnotation"	"1"	"1"	"52"	"2"
"2676"	"False"	""	"GO:0140056"	"IntermediateAnnotation"	"organelle localization by membrane tethering"	"GOAnnotation"	"1"	"1"	"60"	"2"
"2677"	"False"	""	"GO:0022406"	"IntermediateAnnotation"	"membrane docking"	"GOAnnotation"	"1"	"1"	"67"	"1"
"2678"	"False"	""	"GO:0019902"	"IntermediateAnnotation"	"phosphatase binding"	"GOAnnotation"	"1"	"1"	"99"	"1"
"2679"	"False"	""	"GO:0031267"	"LeafAnnotation"	"small GTPase binding"	"GOAnnotation"	"1"	"1"	"133"	"1"
"2680"	"False"	""	"GO:0051020"	"IntermediateAnnotation"	"GTPase binding"	"GOAnnotation"	"1"	"1"	"151"	"1"
"2681"	"False"	""	"GO:0042043"	"LeafAnnotation"	"neurexin family protein binding"	"GOAnnotation"	"1"	"1"	"14"	"7"
"2682"	"False"	""	"Pf01454"	"LeafAnnotation"	"MAGE homology domain"	"Pfam"	"1"	"1"	"5"	"20"
"2683"	"False"	""	"GO:0000122"	"IntermediateAnnotation"	"negative regulation of transcription by RNA polymerase II"	"GOAnnotation"	"1"	"1"	"129"	"1"
"2684"	"False"	""	"GO:0045892"	"IntermediateAnnotation"	"negative regulation of DNA-templated transcription"	"GOAnnotation"	"2"	"2"	"180"	"1"
"2685"	"False"	""	"GO:1902679"	"IntermediateAnnotation"	"negative regulation of RNA biosynthetic process"	"GOAnnotation"	"2"	"2"	"182"	"1"
"2686"	"False"	""	"GO:0051253"	"IntermediateAnnotation"	"negative regulation of RNA metabolic process"	"GOAnnotation"	"2"	"2"	"199"	"1"
"2687"	"False"	""	"GO:0045934"	"IntermediateAnnotation"	"negative regulation of nucleobase-containing compound metabolic process"	"GOAnnotation"	"2"	"2"	"217"	"1"
"2688"	"False"	""	"GO:0007156"	"LeafAnnotation"	"homophilic cell adhesion via plasma membrane adhesion molecules"	"GOAnnotation"	"2"	"2"	"167"	"1"
"2689"	"False"	""	"GO:0098742"	"IntermediateAnnotation"	"cell-cell adhesion via plasma-membrane adhesion molecules"	"GOAnnotation"	"2"	"2"	"258"	"1"
"2690"	"False"	""	"GO:0007566"	"IntermediateAnnotation"	"embryo implantation"	"GOAnnotation"	"2"	"2"	"17"	"12"
"2691"	"False"	""	"Pf00059"	"LeafAnnotation"	"Lectin C-type domain"	"Pfam"	"1"	"1"	"57"	"2"
"2692"	"False"	""	"Pf00801"	"LeafAnnotation"	"PKD domain"	"Pfam"	"1"	"1"	"2"	"50"
"2693"	"False"	""	"Pf01477"	"LeafAnnotation"	"PLAT/LH2 domain"	"Pfam"	"1"	"1"	"8"	"12"
"2694"	"False"	""	"Pf01822"	"LeafAnnotation"	"WSC domain"	"Pfam"	"1"	"1"	"3"	"33"
"2695"	"False"	""	"Pf02010"	"LeafAnnotation"	"REJ domain"	"Pfam"	"1"	"1"	"1"	"100"
"2696"	"False"	""	"Pf08016"	"LeafAnnotation"	"Polycystin cation channel"	"Pfam"	"1"	"1"	"26"	"4"
"2697"	"False"	""	"Pf20519"	"LeafAnnotation"	"Polycystin domain"	"Pfam"	"1"	"1"	"3"	"33"
"2698"	"False"	""	"GO:0001502"	"LeafAnnotation"	"cartilage condensation"	"GOAnnotation"	"1"	"1"	"4"	"25"
"2699"	"False"	""	"GO:0098743"	"IntermediateAnnotation"	"cell aggregation"	"GOAnnotation"	"1"	"1"	"6"	"17"
"2700"	"False"	""	"GO:0001822"	"IntermediateAnnotation"	"kidney development"	"GOAnnotation"	"2"	"2"	"150"	"1"
"2701"	"False"	""	"GO:0002133"	"LeafAnnotation"	"polycystin complex"	"GOAnnotation"	"1"	"1"	"2"	"50"
"2702"	"False"	""	"GO:0005262"	"IntermediateAnnotation"	"calcium channel activity"	"GOAnnotation"	"1"	"1"	"108"	"1"
"2703"	"False"	""	"GO:0005261"	"IntermediateAnnotation"	"monoatomic cation channel activity"	"GOAnnotation"	"1"	"1"	"293"	"0"
"2704"	"False"	""	"GO:0015085"	"IntermediateAnnotation"	"calcium ion transmembrane transporter activity"	"GOAnnotation"	"1"	"1"	"121"	"1"
"2705"	"False"	""	"GO:0008324"	"IntermediateAnnotation"	"monoatomic cation transmembrane transporter activity"	"GOAnnotation"	"1"	"1"	"500"	"0"
"2706"	"False"	""	"GO:0046873"	"IntermediateAnnotation"	"metal ion transmembrane transporter activity"	"GOAnnotation"	"1"	"1"	"401"	"0"
"2707"	"False"	""	"GO:0070588"	"IntermediateAnnotation"	"calcium ion transmembrane transport"	"GOAnnotation"	"1"	"1"	"169"	"1"
"2708"	"False"	""	"GO:0098655"	"IntermediateAnnotation"	"monoatomic cation transmembrane transport"	"GOAnnotation"	"1"	"1"	"565"	"0"
"2709"	"False"	""	"GO:0022890"	"IntermediateAnnotation"	"inorganic cation transmembrane transporter activity"	"GOAnnotation"	"1"	"1"	"472"	"0"
"2710"	"False"	""	"GO:0006816"	"IntermediateAnnotation"	"calcium ion transport"	"GOAnnotation"	"1"	"1"	"202"	"0"
"2711"	"False"	""	"GO:0098662"	"IntermediateAnnotation"	"inorganic cation transmembrane transport"	"GOAnnotation"	"1"	"1"	"541"	"0"
"2712"	"False"	""	"GO:0005929"	"IntermediateAnnotation"	"cilium"	"GOAnnotation"	"1"	"1"	"302"	"0"
"2713"	"False"	""	"GO:0006611"	"LeafAnnotation"	"protein export from nucleus"	"GOAnnotation"	"1"	"1"	"10"	"10"
"2714"	"False"	""	"GO:0051168"	"IntermediateAnnotation"	"nuclear export"	"GOAnnotation"	"1"	"1"	"16"	"6"
"2715"	"False"	""	"GO:0006913"	"IntermediateAnnotation"	"nucleocytoplasmic transport"	"GOAnnotation"	"1"	"1"	"51"	"2"
"2716"	"False"	""	"GO:0051169"	"IntermediateAnnotation"	"nuclear transport"	"GOAnnotation"	"1"	"1"	"52"	"2"
"2717"	"False"	""	"GO:0007161"	"LeafAnnotation"	"calcium-independent cell-matrix adhesion"	"GOAnnotation"	"2"	"2"	"3"	"67"
"2718"	"False"	""	"GO:0007259"	"IntermediateAnnotation"	"cell surface receptor signaling pathway via JAK-STAT"	"GOAnnotation"	"1"	"1"	"30"	"3"
"2719"	"False"	""	"GO:0097696"	"IntermediateAnnotation"	"cell surface receptor signaling pathway via STAT"	"GOAnnotation"	"1"	"1"	"31"	"3"
"2720"	"False"	""	"GO:0016055"	"IntermediateAnnotation"	"Wnt signaling pathway"	"GOAnnotation"	"1"	"1"	"131"	"1"
"2721"	"False"	""	"GO:0016323"	"LeafAnnotation"	"basolateral plasma membrane"	"GOAnnotation"	"1"	"1"	"259"	"0"
"2722"	"False"	""	"GO:0016328"	"LeafAnnotation"	"lateral plasma membrane"	"GOAnnotation"	"1"	"1"	"67"	"1"
"2723"	"False"	""	"GO:0018105"	"IntermediateAnnotation"	"peptidyl-serine phosphorylation"	"GOAnnotation"	"1"	"1"	"34"	"3"
"2724"	"False"	""	"GO:0018209"	"IntermediateAnnotation"	"peptidyl-serine modification"	"GOAnnotation"	"1"	"1"	"36"	"3"
"2725"	"False"	""	"GO:0018193"	"IntermediateAnnotation"	"peptidyl-amino acid modification"	"GOAnnotation"	"3"	"3"	"122"	"2"
"2726"	"False"	""	"GO:0021510"	"IntermediateAnnotation"	"spinal cord development"	"GOAnnotation"	"1"	"1"	"27"	"4"
"2727"	"False"	""	"GO:0021915"	"IntermediateAnnotation"	"neural tube development"	"GOAnnotation"	"1"	"1"	"55"	"2"
"2728"	"False"	""	"GO:0030660"	"IntermediateAnnotation"	"Golgi-associated vesicle membrane"	"GOAnnotation"	"1"	"1"	"28"	"4"
"2729"	"False"	""	"GO:0005798"	"IntermediateAnnotation"	"Golgi-associated vesicle"	"GOAnnotation"	"1"	"1"	"56"	"2"
"2730"	"False"	""	"GO:0031514"	"IntermediateAnnotation"	"motile cilium"	"GOAnnotation"	"1"	"1"	"85"	"1"
"2731"	"False"	""	"GO:0034405"	"IntermediateAnnotation"	"response to fluid shear stress"	"GOAnnotation"	"1"	"1"	"21"	"5"
"2732"	"False"	""	"GO:0034703"	"IntermediateAnnotation"	"cation channel complex"	"GOAnnotation"	"1"	"1"	"178"	"1"
"2733"	"False"	""	"GO:0034702"	"IntermediateAnnotation"	"monoatomic ion channel complex"	"GOAnnotation"	"1"	"1"	"291"	"0"
"2734"	"False"	""	"GO:1902495"	"IntermediateAnnotation"	"transmembrane transporter complex"	"GOAnnotation"	"1"	"1"	"340"	"0"
"2735"	"False"	""	"GO:1990351"	"IntermediateAnnotation"	"transporter complex"	"GOAnnotation"	"1"	"1"	"356"	"0"
"2736"	"False"	""	"GO:0034704"	"IntermediateAnnotation"	"calcium channel complex"	"GOAnnotation"	"1"	"1"	"47"	"2"
"2737"	"False"	""	"GO:0036303"	"IntermediateAnnotation"	"lymph vessel morphogenesis"	"GOAnnotation"	"1"	"1"	"11"	"9"
"2738"	"False"	""	"GO:0001945"	"IntermediateAnnotation"	"lymph vessel development"	"GOAnnotation"	"1"	"1"	"17"	"6"
"2739"	"False"	""	"GO:0042813"	"LeafAnnotation"	"Wnt receptor activity"	"GOAnnotation"	"1"	"1"	"15"	"7"
"2740"	"False"	""	"GO:0043588"	"IntermediateAnnotation"	"skin development"	"GOAnnotation"	"1"	"1"	"105"	"1"
"2741"	"False"	""	"GO:0048754"	"IntermediateAnnotation"	"branching morphogenesis of an epithelial tube"	"GOAnnotation"	"1"	"1"	"62"	"2"
"2742"	"False"	""	"GO:0061138"	"IntermediateAnnotation"	"morphogenesis of a branching epithelium"	"GOAnnotation"	"1"	"1"	"77"	"1"
"2743"	"False"	""	"GO:0060562"	"IntermediateAnnotation"	"epithelial tube morphogenesis"	"GOAnnotation"	"1"	"1"	"131"	"1"
"2744"	"False"	""	"GO:0001763"	"IntermediateAnnotation"	"morphogenesis of a branching structure"	"GOAnnotation"	"1"	"1"	"83"	"1"
"2745"	"False"	""	"GO:0051290"	"LeafAnnotation"	"protein heterotetramerization"	"GOAnnotation"	"1"	"1"	"6"	"17"
"2746"	"False"	""	"GO:0051262"	"IntermediateAnnotation"	"protein tetramerization"	"GOAnnotation"	"1"	"1"	"48"	"2"
"2747"	"False"	""	"GO:0051291"	"IntermediateAnnotation"	"protein heterooligomerization"	"GOAnnotation"	"1"	"1"	"14"	"7"
"2748"	"False"	""	"GO:0051259"	"IntermediateAnnotation"	"protein complex oligomerization"	"GOAnnotation"	"2"	"2"	"139"	"1"
"2749"	"False"	""	"GO:0051726"	"IntermediateAnnotation"	"regulation of cell cycle"	"GOAnnotation"	"2"	"2"	"277"	"1"
"2750"	"False"	""	"GO:0060170"	"IntermediateAnnotation"	"ciliary membrane"	"GOAnnotation"	"1"	"1"	"58"	"2"
"2751"	"False"	""	"GO:0060236"	"IntermediateAnnotation"	"regulation of mitotic spindle organization"	"GOAnnotation"	"1"	"1"	"25"	"4"
"2752"	"False"	""	"GO:0090224"	"IntermediateAnnotation"	"regulation of spindle organization"	"GOAnnotation"	"1"	"1"	"25"	"4"
"2753"	"False"	""	"GO:0010564"	"IntermediateAnnotation"	"regulation of cell cycle process"	"GOAnnotation"	"1"	"1"	"194"	"1"
"2754"	"False"	""	"GO:0070507"	"IntermediateAnnotation"	"regulation of microtubule cytoskeleton organization"	"GOAnnotation"	"1"	"1"	"82"	"1"
"2755"	"False"	""	"GO:0060428"	"IntermediateAnnotation"	"lung epithelium development"	"GOAnnotation"	"1"	"1"	"12"	"8"
"2756"	"False"	""	"GO:0072164"	"IntermediateAnnotation"	"mesonephric tubule development"	"GOAnnotation"	"1"	"1"	"33"	"3"
"2757"	"False"	""	"GO:0072163"	"IntermediateAnnotation"	"mesonephric epithelium development"	"GOAnnotation"	"1"	"1"	"33"	"3"
"2758"	"False"	""	"GO:0072073"	"IntermediateAnnotation"	"kidney epithelium development"	"GOAnnotation"	"1"	"1"	"67"	"1"
"2759"	"False"	""	"GO:0001823"	"IntermediateAnnotation"	"mesonephros development"	"GOAnnotation"	"1"	"1"	"35"	"3"
"2760"	"False"	""	"GO:0072177"	"IntermediateAnnotation"	"mesonephric duct development"	"GOAnnotation"	"1"	"1"	"3"	"33"
"2761"	"False"	""	"GO:0072176"	"IntermediateAnnotation"	"nephric duct development"	"GOAnnotation"	"1"	"1"	"7"	"14"
"2762"	"False"	""	"GO:0072205"	"IntermediateAnnotation"	"metanephric collecting duct development"	"GOAnnotation"	"1"	"1"	"7"	"14"
"2763"	"False"	""	"GO:0072044"	"IntermediateAnnotation"	"collecting duct development"	"GOAnnotation"	"1"	"1"	"9"	"11"
"2764"	"False"	""	"GO:0001656"	"IntermediateAnnotation"	"metanephros development"	"GOAnnotation"	"1"	"1"	"35"	"3"
"2765"	"False"	""	"GO:0072218"	"LeafAnnotation"	"metanephric ascending thin limb development"	"GOAnnotation"	"1"	"1"	"3"	"33"
"2766"	"False"	""	"GO:0072021"	"IntermediateAnnotation"	"ascending thin limb development"	"GOAnnotation"	"1"	"1"	"3"	"33"
"2767"	"False"	""	"GO:0072234"	"IntermediateAnnotation"	"metanephric nephron tubule development"	"GOAnnotation"	"1"	"1"	"8"	"12"
"2768"	"False"	""	"GO:0072236"	"IntermediateAnnotation"	"metanephric loop of Henle development"	"GOAnnotation"	"1"	"1"	"5"	"20"
"2769"	"False"	""	"GO:0072080"	"IntermediateAnnotation"	"nephron tubule development"	"GOAnnotation"	"1"	"1"	"34"	"3"
"2770"	"False"	""	"GO:0072070"	"IntermediateAnnotation"	"loop of Henle development"	"GOAnnotation"	"1"	"1"	"7"	"14"
"2771"	"False"	""	"GO:0072170"	"IntermediateAnnotation"	"metanephric tubule development"	"GOAnnotation"	"1"	"1"	"9"	"11"
"2772"	"False"	""	"GO:0072243"	"IntermediateAnnotation"	"metanephric nephron epithelium development"	"GOAnnotation"	"1"	"1"	"9"	"11"
"2773"	"False"	""	"GO:0061326"	"IntermediateAnnotation"	"renal tubule development"	"GOAnnotation"	"1"	"1"	"36"	"3"
"2774"	"False"	""	"GO:0072009"	"IntermediateAnnotation"	"nephron epithelium development"	"GOAnnotation"	"1"	"1"	"50"	"2"
"2775"	"False"	""	"GO:0072207"	"IntermediateAnnotation"	"metanephric epithelium development"	"GOAnnotation"	"1"	"1"	"10"	"10"
"2776"	"False"	""	"GO:0072006"	"IntermediateAnnotation"	"nephron development"	"GOAnnotation"	"1"	"1"	"68"	"1"
"2777"	"False"	""	"GO:0072237"	"IntermediateAnnotation"	"metanephric proximal tubule development"	"GOAnnotation"	"1"	"1"	"4"	"25"
"2778"	"False"	""	"GO:0072014"	"IntermediateAnnotation"	"proximal tubule development"	"GOAnnotation"	"1"	"1"	"8"	"12"
"2779"	"False"	""	"GO:0072287"	"IntermediateAnnotation"	"metanephric distal tubule morphogenesis"	"GOAnnotation"	"1"	"1"	"1"	"100"
"2780"	"False"	""	"GO:0072156"	"IntermediateAnnotation"	"distal tubule morphogenesis"	"GOAnnotation"	"1"	"1"	"2"	"50"
"2781"	"False"	""	"GO:0072282"	"IntermediateAnnotation"	"metanephric nephron tubule morphogenesis"	"GOAnnotation"	"1"	"1"	"2"	"50"
"2782"	"False"	""	"GO:0072235"	"IntermediateAnnotation"	"metanephric distal tubule development"	"GOAnnotation"	"1"	"1"	"3"	"33"
"2783"	"False"	""	"GO:0072078"	"IntermediateAnnotation"	"nephron tubule morphogenesis"	"GOAnnotation"	"1"	"1"	"23"	"4"
"2784"	"False"	""	"GO:0072017"	"IntermediateAnnotation"	"distal tubule development"	"GOAnnotation"	"1"	"1"	"6"	"17"
"2785"	"False"	""	"GO:0072173"	"IntermediateAnnotation"	"metanephric tubule morphogenesis"	"GOAnnotation"	"1"	"1"	"3"	"33"
"2786"	"False"	""	"GO:0072273"	"IntermediateAnnotation"	"metanephric nephron morphogenesis"	"GOAnnotation"	"1"	"1"	"6"	"17"
"2787"	"False"	""	"GO:0061333"	"IntermediateAnnotation"	"renal tubule morphogenesis"	"GOAnnotation"	"1"	"1"	"25"	"4"
"2788"	"False"	""	"GO:0072088"	"IntermediateAnnotation"	"nephron epithelium morphogenesis"	"GOAnnotation"	"1"	"1"	"24"	"4"
"2789"	"False"	""	"GO:0072028"	"IntermediateAnnotation"	"nephron morphogenesis"	"GOAnnotation"	"1"	"1"	"25"	"4"
"2790"	"False"	""	"GO:0003338"	"IntermediateAnnotation"	"metanephros morphogenesis"	"GOAnnotation"	"1"	"1"	"11"	"9"
"2791"	"False"	""	"GO:0072210"	"IntermediateAnnotation"	"metanephric nephron development"	"GOAnnotation"	"1"	"1"	"12"	"8"
"2792"	"False"	""	"GO:0060993"	"IntermediateAnnotation"	"kidney morphogenesis"	"GOAnnotation"	"1"	"1"	"32"	"3"
"2793"	"False"	""	"GO:0090162"	"IntermediateAnnotation"	"establishment of epithelial cell polarity"	"GOAnnotation"	"1"	"1"	"23"	"4"
"2794"	"False"	""	"GO:0030010"	"IntermediateAnnotation"	"establishment of cell polarity"	"GOAnnotation"	"1"	"1"	"81"	"1"
"2795"	"False"	""	"GO:0007163"	"IntermediateAnnotation"	"establishment or maintenance of cell polarity"	"GOAnnotation"	"1"	"1"	"136"	"1"
"2796"	"False"	""	"GO:0140416"	"LeafAnnotation"	"transcription regulator inhibitor activity"	"GOAnnotation"	"1"	"1"	"4"	"25"
"2797"	"False"	""	"GO:0140494"	"LeafAnnotation"	"migrasome"	"GOAnnotation"	"1"	"1"	"3"	"33"
"2798"	"False"	""	"GO:0160040"	"LeafAnnotation"	"mitocytosis"	"GOAnnotation"	"1"	"1"	"3"	"33"
"2799"	"False"	""	"GO:0048311"	"IntermediateAnnotation"	"mitochondrion distribution"	"GOAnnotation"	"1"	"1"	"8"	"12"
"2800"	"False"	""	"GO:0051654"	"IntermediateAnnotation"	"establishment of mitochondrion localization"	"GOAnnotation"	"1"	"1"	"10"	"10"
"2801"	"False"	""	"GO:0140495"	"IntermediateAnnotation"	"migracytosis"	"GOAnnotation"	"1"	"1"	"3"	"33"
"2802"	"False"	""	"GO:0051646"	"IntermediateAnnotation"	"mitochondrion localization"	"GOAnnotation"	"1"	"1"	"15"	"7"
"2803"	"False"	""	"GO:2000045"	"IntermediateAnnotation"	"regulation of G1/S transition of mitotic cell cycle"	"GOAnnotation"	"1"	"1"	"45"	"2"
"2804"	"False"	""	"GO:1901990"	"IntermediateAnnotation"	"regulation of mitotic cell cycle phase transition"	"GOAnnotation"	"1"	"1"	"74"	"1"
"2805"	"False"	""	"GO:1902806"	"IntermediateAnnotation"	"regulation of cell cycle G1/S phase transition"	"GOAnnotation"	"1"	"1"	"54"	"2"
"2806"	"False"	""	"GO:0007346"	"IntermediateAnnotation"	"regulation of mitotic cell cycle"	"GOAnnotation"	"2"	"2"	"125"	"2"
"2807"	"False"	""	"GO:1901987"	"IntermediateAnnotation"	"regulation of cell cycle phase transition"	"GOAnnotation"	"1"	"1"	"85"	"1"
"2808"	"False"	""	"Pf00093"	"LeafAnnotation"	"von Willebrand factor type C domain"	"Pfam"	"1"	"1"	"8"	"12"
"2809"	"False"	""	"Pf00094"	"LeafAnnotation"	"von Willebrand factor type D domain"	"Pfam"	"1"	"1"	"13"	"8"
"2810"	"False"	""	"Pf01826"	"LeafAnnotation"	"Trypsin Inhibitor like cysteine rich domain"	"Pfam"	"1"	"1"	"11"	"9"
"2811"	"False"	""	"Pf08742"	"LeafAnnotation"	"C8 domain"	"Pfam"	"1"	"1"	"11"	"9"
"2812"	"False"	""	"Pf16164"	"LeafAnnotation"	"VWA N-terminal"	"Pfam"	"1"	"1"	"1"	"100"
